lattice,1_II,1_IH,1_HH,2_II,2_IH,2_HH,3_II,3_IH,3_HH,4_II,4_IH,4_HH,5_II,5_IH,5_HH,6_II,6_IH,6_HH,7_II,7_IH,7_HH,8_II,8_IH,8_HH,9_II,9_IH,9_HH,10_II,10_IH,10_HH,11_II,11_IH,11_HH
6.8,2059.971946,1029.991078,-1.538e-05,2059.985624,1029.991025,-1.685e-05,2059.982711,1029.991207,-1.824e-05,2059.985338,1029.9912,-1.899e-05,2059.982946,1029.991085,-1.97e-05,2059.981932,1029.991106,-1.977e-05,2059.982838,1029.991194,-1.985e-05,2059.981954,1029.991125,-1.992e-05,2059.984123,1029.991218,-1.994e-05,2059.982443,1029.991112,-1.996e-05,2059.982324,1029.991113,-1.999e-05
7.0,2059.98889,1029.999305,-1.537e-05,2060.001566,1029.999259,-1.684e-05,2059.999165,1029.999424,-1.814e-05,2060.001541,1029.999415,-1.899e-05,2059.999337,1029.999314,-1.97e-05,2059.998427,1029.999328,-1.976e-05,2059.999204,1029.99941,-1.984e-05,2059.998486,1029.999342,-1.991e-05,2060.000326,1029.999433,-1.994e-05,2059.998841,1029.999332,-1.995e-05,2059.998776,1029.999334,-1.998e-05
7.1,2059.999062,1030.004293,-1.57e-05,2060.011281,1030.004251,-1.72e-05,2060.009143,1030.004408,-1.865e-05,2060.011382,1030.004397,-1.941e-05,2060.009283,1030.004304,-2.014e-05,2060.008417,1030.004313,-2.019e-05,2060.009141,1030.004392,-2.026e-05,2060.008502,1030.004325,-2.032e-05,2060.010185,1030.004415,-2.034e-05,2060.008792,1030.004317,-2.034e-05,2060.00875,1030.00432,-2.037e-05
7.2,2060.01022,1030.009787,-1.74e-05,2060.022008,1030.009746,-1.908e-05,2060.020131,1030.01022,-2.072e-05,2060.022233,1030.009883,-2.156e-05,2060.02024,1030.009797,-2.24e-05,2060.019414,1030.009802,-2.243e-05,2060.020091,1030.009879,-2.247e-05,2060.019525,1030.009813,-2.251e-05,2060.021059,1030.009901,-2.253e-05,2060.019755,1030.009805,-2.254e-05,2060.019733,1030.009809,-2.256e-05
7.3,2060.022245,1030.015772,-1.934e-05,2060.033623,1030.015683,-2.123e-05,2060.032003,1030.015827,-2.31e-05,2060.033969,1030.01581,-2.403e-05,2060.03208,1030.015733,-2.499e-05,2060.031293,1030.015732,-2.499e-05,2060.031927,1030.015807,-2.5e-05,2060.03143,1030.015742,-2.501e-05,2060.032822,1030.015829,-2.5e-05,2060.031604,1030.015736,-2.5e-05,2060.031598,1030.015739,-2.501e-05
7.4,2060.035024,1030.02204,-2.333e-05,2060.046011,1030.022002,-2.563e-05,2060.04464,1030.02214,-2.795e-05,2060.046473,1030.02212,-2.904e-05,2060.044686,1030.022049,-3.029e-05,2060.043934,1030.022045,-3.025e-05,2060.044541,1030.022117,-3.015e-05,2060.044098,1030.022053,-3.008e-05,2060.045355,1030.022138,-3.01e-05,2060.044222,1030.022048,-3.009e-05,2060.044228,1030.022052,-3.009e-05
7.5,2060.04844,1030.028681,-2.888e-05,2060.059054,1030.028644,-3.179e-05,2060.057923,1030.028775,-3.477e-05,2060.059629,1030.028752,-3.617e-05,2060.057937,1030.028688,-3.769e-05,2060.057221,1030.02868,-3.756e-05,2060.057785,1030.028749,-3.744e-05,2060.057409,1030.028687,-3.732e-05,2060.05854,1030.02877,-3.735e-05,2060.057489,1030.028683,-3.732e-05,2060.057503,1030.028686,-3.73e-05
7.6,2060.062381,1030.035585,-3.824e-05,2060.07264,1030.035549,-4.216e-05,2060.071735,1030.035673,-4.624e-05,2060.07332,1030.035648,-4.81e-05,2060.071719,1030.035589,-5.016e-05,2060.071038,1030.035578,-4.993e-05,2060.071571,1030.035645,-4.97e-05,2060.071246,1030.035584,-4.948e-05,2060.07226,1030.035665,-4.946e-05,2060.071288,1030.035581,-4.942e-05,2060.071309,1030.035584,-4.938e-05
7.7,2060.076741,1030.042698,-5.335e-05,2060.086609,1030.042661,-5.892e-05,2060.085966,1030.042778,-6.469e-05,2060.087436,1030.04275,-6.734e-05,2060.085919,1030.042697,-7.029e-05,2060.085274,1030.042682,-6.992e-05,2060.085779,1030.042747,-6.953e-05,2060.085498,1030.042688,-6.917e-05,2060.086404,1030.042766,-6.913e-05,2060.085509,1030.042686,-6.905e-05,2060.085533,1030.042688,-6.896e-05
7.8,2060.091415,1030.049964,-7.571e-05,2060.101011,1030.049926,-8.366e-05,2060.100508,1030.050035,-9.204e-05,2060.10187,1030.050004,-9.579e-05,2060.100432,1030.049956,-0.00010006,2060.099822,1030.049938,-9.94e-05,2060.100301,1030.05,-9.872e-05,2060.100059,1030.049944,-9.087e-05,2060.100866,1030.050019,-9.75e-05,2060.100046,1030.049943,-9.736e-05,2060.10007,1030.049945,-9.718e-05
