lattice,1_II,1_IH,1_HH,2_II,2_IH,2_HH,3_II,3_IH,3_HH,4_II,4_IH,4_HH,5_II,5_IH,5_HH,6_II,6_IH,6_HH,7_II,7_IH,7_HH,8_II,8_IH,8_HH,9_II,9_IH,9_HH,10_II,10_IH,10_HH,11_II,11_IH,11_HH
6.8,2059.982731,1029.996712,-1.536e-05,2059.995391,1029.996645,-1.683e-05,2059.993723,1029.996824,-1.823e-05,2059.996427,1029.996782,-1.897e-05,2059.994019,1029.9967,-1.968e-05,2059.993231,1029.996685,-1.975e-05,2059.993849,1029.996768,-1.984e-05,2059.993387,1029.996674,-1.993e-05,2059.994905,1029.99678,-1.994e-05,2059.985833,1029.992908,-2.014e-05,2059.982324,1029.991113,-1.999e-05
7.0,2059.999605,1030.004861,-1.567e-05,2060.011137,1030.004805,-1.717e-05,2060.010024,1030.004966,-1.86e-05,2060.012451,1030.004924,-1.937e-05,2060.010218,1030.004855,-2.009e-05,2060.009543,1030.004832,-2.016e-05,2060.010081,1030.004907,-2.023e-05,2060.009739,1030.004818,-2.03e-05,2060.010917,1030.004916,-2.032e-05,2060.002907,1030.001444,-2.048e-05,2059.998776,1029.999334,-1.998e-05
7.1,2060.009625,1030.009744,-1.655e-05,2060.020657,1030.009692,-1.815e-05,2060.019789,1030.009845,-1.968e-05,2060.022074,1030.009803,-2.049e-05,2060.019937,1030.00974,-2.126e-05,2060.019313,1030.009714,-2.131e-05,2060.019818,1030.009784,-2.137e-05,2060.019521,1030.009699,-2.142e-05,2060.020553,1030.009792,-2.146e-05,2060.013039,1030.00651,-2.156e-05,2060.00875,1030.00432,-2.037e-05
7.2,2060.020561,1030.015092,-1.747e-05,2060.031129,1030.015044,-1.917e-05,2060.030484,1030.01519,-2.081e-05,2060.032628,1030.015147,-2.166e-05,2060.03059,1030.01509,-2.25e-05,2060.030013,1030.015061,-2.253e-05,2060.030488,1030.015128,-2.257e-05,2060.030229,1030.015045,-2.261e-05,2060.031129,1030.015134,-2.263e-05,2060.024095,1030.012036,-2.268e-05,2060.019733,1030.009809,-2.256e-05
7.3,2060.032296,1030.020844,-2.008e-05,2060.042433,1030.020799,-2.205e-05,2060.041986,1030.020938,-2.399e-05,2060.043992,1030.020895,-2.496e-05,2060.042053,1030.020842,-2.595e-05,2060.04152,1030.020811,-2.596e-05,2060.041968,1030.020874,-2.596e-05,2060.041741,1030.020794,-2.597e-05,2060.042521,1030.020879,-2.599e-05,2060.035952,1030.017963,-2.592e-05,2060.031598,1030.015739,-2.501e-05
7.4,2060.044711,1030.026938,-2.33e-05,2060.054446,1030.026897,-2.562e-05,2060.054171,1030.027028,-2.793e-05,2060.056046,1030.026986,-2.907e-05,2060.054205,1030.026937,-3.024e-05,2060.053713,1030.026904,-3.021e-05,2060.054136,1030.026963,-3.015e-05,2060.053934,1030.026887,-3.012e-05,2060.054609,1030.026967,-3.012e-05,2060.048491,1030.024231,-2.991e-05,2060.044228,1030.022052,-3.009e-05
7.5,2060.057688,1030.033312,-2.915e-05,2060.067044,1030.033274,-3.209e-05,2060.066918,1030.033397,-3.51e-05,2060.068667,1030.033356,-3.652e-05,2060.066922,1030.033311,-3.805e-05,2060.066468,1030.033277,-3.793e-05,2060.066868,1030.033333,-3.781e-05,2060.066687,1030.03326,-3.769e-05,2060.067269,1030.033335,-3.77e-05,2060.061591,1030.030777,-3.714e-05,2060.057503,1030.028686,-3.73e-05
7.6,2060.071116,1030.03991,-3.857e-05,2060.080114,1030.039875,-4.255e-05,2060.080115,1030.03999,-4.662e-05,2060.081744,1030.039949,-4.852e-05,2060.080093,1030.039907,-5.061e-05,2060.079674,1030.039873,-5.038e-05,2060.080052,1030.039925,-5.014e-05,2060.079889,1030.039855,-4.992e-05,2060.080387,1030.039926,-4.992e-05,2060.075139,1030.037545,-4.852e-05,2060.071309,1030.035584,-4.938e-05
7.7,2060.084889,1030.046678,-5.272e-05,2060.093548,1030.046644,-5.82e-05,2060.093654,1030.046752,-6.392e-05,2060.09517,1030.046711,-6.654e-05,2060.09361,1030.046671,-6.944e-05,2060.093223,1030.046637,-6.905e-05,2060.09358,1030.046686,-6.863e-05,2060.093432,1030.04662,-6.826e-05,2060.093858,1030.046686,-6.823e-05,2060.089026,1030.044479,-6.676e-05,2060.085533,1030.042688,-6.896e-05
7.8,2060.098908,1030.053564,-7.495e-05,2060.107243,1030.053531,-8.284e-05,2060.107435,1030.05363,-9.115e-05,2060.108844,1030.053589,-9.48e-05,2060.107371,1030.053551,-9.913e-05,2060.107014,1030.053517,-9.844e-05,2060.107352,1030.053563,-9.77e-05,2060.107217,1030.0535,-9.703e-05,2060.107579,1030.053562,-9.699e-05,2060.103151,1030.051528,-9.445e-05,2060.10007,1030.049945,-9.718e-05
