lattice,1_II,1_IH,1_HH,2_II,2_IH,2_HH,3_II,3_IH,3_HH,4_II,4_IH,4_HH,5_II,5_IH,5_HH,6_II,6_IH,6_HH,7_II,7_IH,7_HH,8_II,8_IH,8_HH,9_II,9_IH,9_HH,10_II,10_IH,10_HH,11_II,11_IH,11_HH
6.8,2059.980171,1029.995392,-1.532e-05,2059.993117,1029.995328,-1.678e-05,2059.991135,1029.995507,-1.818e-05,2059.993858,1029.995473,-1.893e-05,2059.991438,1029.995383,-1.964e-05,2059.990593,1029.995377,-1.971e-05,2059.991261,1029.995461,-1.979e-05,2059.990718,1029.995372,-1.987e-05,2059.992399,1029.995477,-1.988e-05,2059.990922,1029.995368,-1.989e-05,2059.982324,1029.991113,-1.999e-05
7.0,2059.997138,1030.003604,-1.539e-05,2060.008962,1030.003549,-1.687e-05,2060.007563,1030.003711,-1.828e-05,2060.010011,1030.003675,-1.903e-05,2060.007768,1030.0036,-1.974e-05,2060.007032,1030.003585,-1.98e-05,2060.007612,1030.003662,-1.988e-05,2060.00721,1030.003577,-1.995e-05,2060.008537,1030.003675,-1.997e-05,2060.007308,1030.003575,-1.998e-05,2059.998776,1029.999334,-1.998e-05
7.1,2060.007236,1030.008536,-1.619e-05,2060.018558,1030.008484,-1.775e-05,2060.017427,1030.008639,-1.924e-05,2060.019732,1030.008602,-2.003e-05,2060.017586,1030.008534,-2.079e-05,2060.0169,1030.008514,-2.085e-05,2060.017444,1030.008588,-2.091e-05,2060.017097,1030.008505,-2.097e-05,2060.018268,1030.0086,-2.098e-05,2060.017155,1030.008504,-2.099e-05,2060.00875,1030.00432,-2.037e-05
7.2,2060.018271,1030.013944,-1.757e-05,2060.029128,1030.013896,-1.928e-05,2060.028244,1030.014044,-2.093e-05,2060.030407,1030.014006,-2.179e-05,2060.02836,1030.013944,-2.263e-05,2060.02772,1030.01392,-2.266e-05,2060.028233,1030.013991,-2.27e-05,2060.027933,1030.01391,-2.274e-05,2060.028962,1030.014001,-2.276e-05,2060.027958,1030.01391,-2.276e-05,2060.019733,1030.009809,-2.256e-05
7.3,2060.030127,1030.019768,-1.976e-05,2060.04055,1030.019723,-2.17e-05,2060.03989,1030.019863,-2.36e-05,2060.041915,1030.019825,-2.459e-05,2060.039966,1030.019768,-2.557e-05,2060.039371,1030.019742,-2.552e-05,2060.039854,1030.019809,-2.553e-05,2060.039594,1030.019731,-2.554e-05,2060.040494,1030.019818,-2.557e-05,2060.039594,1030.019731,-2.558e-05,2060.031598,1030.015739,-2.501e-05
7.4,2060.042681,1030.025943,-2.315e-05,2060.052699,1030.025902,-2.545e-05,2060.05224,1030.026035,-2.776e-05,2060.05413,1030.025995,-2.888e-05,2060.052279,1030.025944,-3.007e-05,2060.051725,1030.025915,-3.002e-05,2060.052183,1030.025979,-2.998e-05,2060.051955,1030.025904,-2.994e-05,2060.05274,1030.025986,-2.995e-05,2060.051936,1030.025904,-2.994e-05,2060.044228,1030.022052,-3.009e-05
7.5,2060.055816,1030.03241,-2.918e-05,2060.065454,1030.03237,-3.214e-05,2060.06517,1030.032496,-3.513e-05,2060.066934,1030.032456,-3.656e-05,2060.065177,1030.03241,-3.809e-05,2060.064663,1030.032379,-3.797e-05,2060.065096,1030.032439,-3.785e-05,2060.064896,1030.032367,-3.773e-05,2060.065577,1030.032445,-3.775e-05,2060.064861,1030.032367,-3.772e-05,2060.057503,1030.028686,-3.73e-05
7.6,2060.069427,1030.039114,-3.373e-05,2060.0787,1030.039072,-4.221e-05,2060.078575,1030.039196,-4.123e-05,2060.080212,1030.03915,-4.815e-05,2060.078553,1030.039113,-4.492e-05,2060.078076,1030.039081,-4.46e-05,2060.078487,1030.039137,-4.427e-05,2060.078308,1030.039069,-4.394e-05,2060.078898,1030.039143,-4.387e-05,2060.078264,1030.039069,-4.383e-05,2060.071309,1030.035584,-4.938e-05
7.7,2060.08339,1030.045986,-5.269e-05,2060.092327,1030.045951,-5.818e-05,2060.092326,1030.046062,-6.387e-05,2060.093856,1030.046021,-6.647e-05,2060.092279,1030.045981,-6.939e-05,2060.091836,1030.045948,-6.898e-05,2060.092226,1030.046001,-6.854e-05,2060.092066,1030.045936,-6.815e-05,2060.092573,1030.046005,-6.815e-05,2060.092014,1030.045936,-6.805e-05,2060.085533,1030.042688,-6.896e-05
7.8,2060.097619,1030.052989,-7.527e-05,2060.106232,1030.052954,-8.32e-05,2060.10634,1030.053056,-9.15e-05,2060.107762,1030.053015,-9.526e-05,2060.106269,1030.052976,-9.949e-05,2060.105859,1030.052943,-9.885e-05,2060.106228,1030.052993,-9.816e-05,2060.106085,1030.052931,-9.752e-05,2060.106519,1030.052997,-9.75e-05,2060.106029,1030.052932,-9.736e-05,2060.10007,1030.049945,-9.718e-05
