lattice,1_II,1_IH,1_HH,2_II,2_IH,2_HH,3_II,3_IH,3_HH,4_II,4_IH,4_HH,5_II,5_IH,5_HH,6_II,6_IH,6_HH,7_II,7_IH,7_HH,8_II,8_IH,8_HH,9_II,9_IH,9_HH,10_II,10_IH,10_HH,11_II,11_IH,11_HH
6.8,2059.977471,1029.993986,-1.531e-05,2059.990697,1029.993925,-1.677e-05,2059.988382,1029.994105,-1.817e-05,2059.991105,1029.99408,-1.892e-05,2059.988681,1029.993981,-1.962e-05,2059.98778,1029.993985,-1.969e-05,2059.988508,1029.994071,-1.977e-05,2059.987866,1029.993987,-1.985e-05,2059.989718,1029.99409,-1.987e-05,2059.988154,1029.993981,-1.989e-05,2059.982324,1029.991113,-1.999e-05
7.0,2059.99449,1030.00224,-7.55e-06,2060.006612,1030.002188,-8.51e-06,2060.004888,1030.002352,-9.65e-06,2060.007342,1030.002324,-1.013e-05,2060.005098,1030.002241,-1.062e-05,2060.004302,1030.002235,-1.053e-05,2060.004933,1030.002315,-1.04e-05,2060.004449,1030.002234,-1.027e-05,2060.005941,1030.002332,-1.02e-05,2060.004612,1030.002231,-1.019e-05,2059.998776,1029.999334,-1.998e-05
7.1,2060.004627,1030.007197,-1.602e-05,2060.016253,1030.007147,-1.756e-05,2060.01481,1030.007303,-1.904e-05,2060.017121,1030.007273,-1.981e-05,2060.014975,1030.007198,-2.057e-05,2060.014227,1030.007187,-2.062e-05,2060.014817,1030.007263,-2.068e-05,2060.014399,1030.007184,-2.074e-05,2060.015729,1030.007279,-2.074e-05,2060.014511,1030.007181,-2.078e-05,2060.00875,1030.00432,-2.037e-05
7.2,2060.015744,1030.01266,-8.65e-06,2060.026907,1030.012615,-9.75e-06,2060.02573,1030.012764,-1.105e-05,2060.0279,1030.012732,-1.161e-05,2060.025854,1030.012664,-1.219e-05,2060.025151,1030.012649,-1.204e-05,2060.025707,1030.012722,-1.187e-05,2060.025346,1030.012645,-1.17e-05,2060.026526,1030.012737,-1.164e-05,2060.025416,1030.012644,-1.162e-05,2060.019733,1030.009809,-2.256e-05
7.3,2060.027678,1030.01853,-1.959e-05,2060.038406,1030.018486,-2.151e-05,2060.037477,1030.018628,-2.341e-05,2060.039507,1030.018594,-2.435e-05,2060.03756,1030.018533,-2.532e-05,2060.0369,1030.018513,-2.532e-05,2060.037424,1030.018583,-2.533e-05,2060.037112,1030.018508,-2.533e-05,2060.038155,1030.018597,-2.535e-05,2060.037146,1030.018507,-2.536e-05,2060.031598,1030.015739,-2.501e-05
7.4,2060.040341,1030.024772,-2.356e-05,2060.050663,1030.02473,-2.59e-05,2060.04996,1030.024865,-2.826e-05,2060.051855,1030.02483,-2.94e-05,2060.050006,1030.024774,-3.06e-05,2060.049387,1030.024752,-3.056e-05,2060.049882,1030.024819,-3.052e-05,2060.049613,1030.024746,-3.049e-05,2060.050531,1030.024831,-3.05e-05,2060.049618,1030.024745,-3.05e-05,2060.044228,1030.022052,-3.009e-05
7.5,2060.053617,1030.031326,-1.966e-05,2060.063557,1030.031287,-2.2e-05,2060.063059,1030.031416,-2.462e-05,2060.064825,1030.031379,-2.572e-05,2060.06307,1030.031329,-2.699e-05,2060.062491,1030.031304,-2.668e-05,2060.062961,1030.031368,-2.633e-05,2060.062727,1030.031298,-2.6e-05,2060.063532,1030.031379,-2.591e-05,2060.062711,1030.031298,-2.586e-05,2060.057503,1030.028686,-3.73e-05
7.6,2060.067359,1030.038102,-3.833e-05,2060.076937,1030.038064,-4.226e-05,2060.07662,1030.038185,-4.633e-05,2060.078264,1030.038148,-4.82e-05,2060.0766,1030.038101,-5.029e-05,2060.076058,1030.038074,-5.005e-05,2060.076504,1030.038134,-4.981e-05,2060.076299,1030.038067,-4.958e-05,2060.077002,1030.038144,-4.957e-05,2060.076266,1030.038067,-4.954e-05,2060.071309,1030.035584,-4.938e-05
7.7,2060.081495,1030.045077,-5.255e-05,2060.090731,1030.04504,-5.801e-05,2060.090572,1030.045154,-6.372e-05,2060.092102,1030.045115,-6.631e-05,2060.090524,1030.045072,-6.922e-05,2060.090019,1030.045043,-6.883e-05,2060.090442,1030.0451,-6.84e-05,2060.090261,1030.045036,-6.8e-05,2060.090872,1030.045109,-6.799e-05,2060.090216,1030.045036,-6.789e-05,2060.085533,1030.042688,-6.896e-05
7.8,2060.095911,1030.052186,-7.525e-05,2060.104821,1030.052149,-8.319e-05,2060.104798,1030.052254,-9.15e-05,2060.106221,1030.052214,-9.524e-05,2060.104724,1030.052175,-9.95e-05,2060.104253,1030.052144,-9.884e-05,2060.104655,1030.052198,-9.817e-05,2060.104495,1030.052138,-9.754e-05,2060.105025,1030.052206,-9.747e-05,2060.104442,1030.052137,-9.735e-05,2060.10007,1030.049945,-9.718e-05
7.9,2060.110509,1030.059378,-0.00010965,2060.119106,1030.059339,-0.00012119,2060.119197,1030.059435,-0.00013353,2060.12052,1030.059393,-0.00013906,2060.119099,1030.059355,-0.00014524,2060.118662,1030.059324,-0.00014418,2060.119043,1030.059376,-0.00014308,2060.118901,1030.059318,-0.00014198,2060.119357,1030.059383,-0.00014197,2060.118842,1030.059318,-0.00014169,2060.114406,1030.056922,-0.00048407
8.0,2060.125195,1030.066601,-0.00016312,2060.13349,1030.066559,-0.0001805,2060.133675,1030.066643,-0.00019892,2060.134902,1030.066599,-0.00020705,2060.133554,1030.066561,-0.00021647,2060.133148,1030.066531,-0.00021486,2060.13351,1030.066579,-0.00021312,2060.133383,1030.066525,-0.00021149,2060.133774,1030.066586,-0.00021135,2060.13332,1030.066526,-0.00021102,2060.12964,1030.064678,-0.00021069
